country,gender,record_count,average_age_of_death
Dutch people,Male,1,53.0
East Timor,Male,3,46.666666666666664
Eastern Han Dynasty,Eunuch; Male,1,89.0
Eastern Han Dynasty,Female,1,14.0
Eastern Han Dynasty,Male,21,44.904761904761905
Eastern Wei,Male,1,28.0
Eastern Wu,Male,1,29.0
Ecuador,Female,6,50.666666666666664
Ecuador,Male,32,64.125
Ecuador; Cacha,Male,1,27.0
Ecuador; Colombia,Female,1,20.0
Ecuador; Colombia,Male,4,48.25
Egypt,Female,10,60.2
Egypt,Male,65,64.06153846153846
Egypt; Australia,Male,1,73.0
Egypt; France,Female,2,56.0
Egypt; France,Male,2,65.5
Egypt; Germany,Male,1,93.0
Egypt; Israel,Male,1,41.0
Egypt; Malaysia,Male,1,70.0
Egypt; United Arab Republic; Republic of Egypt,Male,1,67.0
Egypt; United Kingdom,Male,1,42.0
El Salvador,Female,3,56.333333333333336
El Salvador,Male,28,50.25
El Salvador; Nicaragua,Male,1,41.0
Electorate of Baden,Male,1,74.0
Electorate of Saxony,Female,1,53.0
Electorate of Saxony,Male,2,39.0
Empire of Brazil,Male,1,21.0
Empire of Japan,Male,2,54.0
England,Female,9,53.111111111111114
England,Male,26,51.34615384615385
England; Kingdom of Great Britain,Male,1,48.0
England; United Kingdom,Male,5,63.2
England; United Kingdom of Great Britain and Ireland,Male,1,67.0
England; United Kingdom; Kingdom of England,Male,1,39.0
England; United Kingdom; United Kingdom of Great Britain and Ireland,Male,1,77.0
English people,Female,2,66.5
English people,Male,1,83.0
Epirus,Male,1,46.0
Equatorial Guinea,Female,1,61.0
Equatorial Guinea,Male,2,53.0
Eritrea,Female,1,73.0
Eritrea,Male,3,46.333333333333336
España,Male,1,52.0
Estonia,Female,1,23.0
Estonia,Male,28,51.214285714285715
Estonia; Israel,Male,1,49.0
Estonia; Russian Empire,Male,2,52.5
Estonia; Russian Soviet Federative Socialist Republic; Russian Empire,Male,1,34.0
Estonia; Soviet Union,Female,2,42.5
Estonia; Soviet Union,Male,8,53.625
Estonia; Soviet Union; Russian Empire,Male,4,60.25
Eswatini,Female,1,21.0
Ethiopia,Male,7,55.857142857142854
Ethiopia; Eritrea,Male,1,39.0
Fatimid caliphate,Male,1,31.0
Federated States of Micronesia,Male,1,72.0
Fiji,Male,2,47.5
Finland,Female,31,53.645161290322584
Finland,Male,149,51.624161073825505
Finland; Argentina,Female,1,70.0
Finland; Russian Empire,Female,2,27.5
Finland; Russian Empire,Male,3,55.333333333333336
Finland; Soviet Union,Male,2,50.0
Finland; Soviet Union; Finnish Democratic Republic; Grand Duchy of Finland,Male,1,83.0
Finland; Soviet Union; Russian Empire,Male,1,57.0
Finland; Sweden,Male,3,55.333333333333336
Finland; United Kingdom,Male,2,69.5
First Portuguese Republic; Estado Novo,Male,1,49.0
Flanders,Male,1,60.0
Flanders; Dutch Republic,Male,1,43.0
Florencia,Female,1,23.0
Former Shu,Male,1,27.0
France,Female,414,53.77536231884058
France,Intersex,1,30.0
France,Male,2140,55.4696261682243
France; Algeria,Female,1,32.0
France; Algeria,Male,4,46.5
France; Argentina,Male,2,75.5
France; Argentina; Peru,Male,1,57.0
France; Austria-Hungary,Male,1,33.0
France; Belarus,Male,1,75.0
France; Brazil,Female,1,47.0
France; Brazil,Male,3,54.0
France; Bulgaria,Male,1,78.0
France; Central African Republic; Central African Empire,Male,1,75.0
France; Chile,Male,1,40.0
France; Comoros,Male,1,70.0
France; Czech Republic,Female,1,45.0
France; Czech Republic,Male,1,48.0
France; Czechoslovakia,Male,1,39.0
France; Duchy of Florence,Male,1,39.0
France; French Third Republic; Second French Empire,Male,1,37.0
France; Gabon,Male,2,69.5
France; Germany,Female,1,36.0
France; Germany,Male,9,61.666666666666664
France; Germany; Soviet Union; Russian Empire,Male,1,55.0
France; Guinea,Male,2,58.0
France; Haiti,Female,1,42.0
France; Haiti,Male,1,44.0
France; Haiti; French First Republic; Kingdom of France (1791-1792); Kingdom of France; Saint-Domingue,Male,1,60.0
France; Iceland,Female,1,55.0
France; Israel,Male,1,28.0
France; Ivory Coast,Male,1,88.0
France; Kingdom of France,Female,2,30.5
France; Kingdom of France,Male,2,39.5
France; Kingdom of Great Britain,Male,1,58.0
France; Kingdom of Hungary,Male,1,91.0
France; Kingdom of Ireland,Male,1,54.0
France; Kingdom of Italy,Male,2,33.5
France; Kingdom of Naples; Grand Duchy of Berg,Male,1,48.0
France; Kingdom of the Netherlands,Male,1,38.0
France; Lebanon,Male,1,70.0
France; Mali,Male,2,47.0
France; Monaco,Male,1,69.0
France; Morocco,Female,1,34.0
France; Morocco,Male,1,78.0
France; Nazi Germany; French Fourth Republic; French Third Republic,Male,1,89.0
France; Ottoman Empire,Male,2,51.5
France; Pakistan; British Raj,Male,1,49.0
France; Peru,Male,1,23.0
France; Polish–Lithuanian Commonwealth,Male,4,49.25
France; Republic of Geneva,Female,1,51.0
France; Republic of Geneva,Male,2,44.0
France; Romania,Male,2,49.5
France; Romania; Austria-Hungary,Male,1,71.0
France; Russia,Female,1,40.0
France; Russian Empire,Female,5,55.4
France; Russian Empire,Male,10,67.0
France; Russian Empire; Polish–Lithuanian Commonwealth,Male,2,60.5
France; Russian Empire; Russian Republic,Male,1,35.0
France; Russian Soviet Federative Socialist Republic; Russian Empire,Male,1,75.0
France; Russian Soviet Federative Socialist Republic; Russian Empire; Russian Republic,Male,1,53.0
France; Russian Soviet Federative Socialist Republic; Soviet Union; Russian Empire,Male,1,54.0
France; Soviet Union,Male,3,64.0
France; Soviet Union; Russian Empire,Male,1,31.0
France; Soviet Union; Russian Empire; Russian Soviet Federative Socialist Republic,Male,1,73.0
France; Spaniards,Male,1,77.0
France; Togo,Male,2,63.0
France; Tsardom of Russia,Male,1,40.0
France; Uganda,Male,1,65.0
France; United Kingdom,Female,1,51.0
France; United Kingdom,Male,5,59.8
France; United Kingdom of Great Britain and Ireland,Female,1,56.0
France; United Kingdom of Great Britain and Ireland,Male,2,45.5
France; United Kingdom of the Netherlands,Male,1,68.0
France; Venezuela,Male,1,73.0
France; West Germany,Female,1,44.0
French,Male,1,54.0
French First Republic; Kingdom of France,Male,1,51.0
French Indochina,Male,1,60.0
French Polynesia,Female,1,45.0
French Third Republic; First French Empire; Riograndense Republic; Kingdom of Sardinia; Kingdom of Italy,Male,1,75.0
French Third Republic; Second French Empire,Male,2,46.5
Gabon,Male,4,53.75
Gambia,Female,1,71.0
Georgia,Female,3,50.333333333333336
Georgia,Male,12,51.666666666666664
Georgia; Israel,Male,1,55.0
Georgia; Republic of Abkhazia,Male,1,70.0
Georgia; Russian Empire,Male,1,55.0
Georgia; Russian Empire; Georgian Soviet Socialist Republic,Male,1,40.0
Georgia; Soviet Union,Male,8,57.375
Georgia; Soviet Union; Republic of Abkhazia,Female,1,79.0
German Confederation,Male,1,72.0
German Confederation; Grand Duchy of Baden,Male,1,41.0
German Democratic Republic,Female,1,40.0
German Democratic Republic,Male,16,50.5
German Democratic Republic; Weimar Republic; German Empire; Saar,Male,1,82.0
German Empire,Female,9,35.666666666666664
German Empire,Male,52,39.46153846153846
German Empire; German Confederation,Male,5,55.0
German Empire; North German Confederation; German Confederation,Male,1,49.0
German Reich,Female,1,66.0
German Reich,Male,9,43.888888888888886
Germans,Male,1,52.0
Germany,Female,221,52.90950226244344
Germany,Male,1491,53.42924211938296
Germany; Afghanistan,Female,1,52.0
Germany; Argentina,Male,1,69.0
Germany; Australia,Male,2,62.5
Germany; Austria-Hungary; German Confederation,Male,1,51.0
Germany; Baden,Male,1,54.0
Germany; Bohemia,Male,1,51.0
Germany; Bolivia,Male,2,62.5
Germany; Bulgaria,Male,1,74.0
Germany; Chile; Argentina; Nazi Germany; Weimar Republic,Male,1,89.0
Germany; Czech Republic,Female,1,42.0
Germany; Estonia,Male,2,58.0
Germany; German Democratic Republic,Female,9,59.666666666666664
Germany; German Democratic Republic,Male,45,63.77777777777778
Germany; German Democratic Republic; West Germany,Male,1,60.0
Germany; German Empire,Male,7,56.714285714285715
Germany; German Empire; German Confederation,Female,1,77.0
Germany; German Empire; North German Confederation,Male,1,38.0
Germany; German Reich,Male,1,67.0
Germany; Germany; German Democratic Republic,Male,1,86.0
Germany; Holy Roman Empire,Male,1,70.0
Germany; Indonesia; Kingdom of the Netherlands,Male,1,49.0
Germany; Israel,Female,1,75.0
Germany; Israel,Male,5,77.8
Germany; Kingdom of Bavaria,Male,2,44.0
Germany; Kingdom of Prussia,Male,3,62.333333333333336
Germany; Kingdom of Prussia; German Empire; Kingdom of Hanover,Male,1,53.0
Germany; Kingdom of Prussia; Weimar Republic; German Empire,Male,1,55.0
Germany; Kingdom of Saxony,Male,1,46.0
Germany; Kingdom of Wessex,Male,1,79.0
Germany; Kingdom of the Netherlands,Female,1,84.0
Germany; Kingdom of the Netherlands,Male,3,75.33333333333333
Germany; Lübeck,Male,2,47.0
Germany; Nazi Germany,Female,1,61.0
Germany; Nazi Germany,Male,4,55.0
Germany; Nazi Germany; Austria-Hungary; Czechoslovakia,Male,1,47.0
Germany; Nazi Germany; German Democratic Republic,Male,1,87.0
Germany; Nazi Germany; German Democratic Republic; West Germany,Male,1,56.0
Germany; Nazi Germany; Soviet Union; Russian Empire; Weimar Republic; German Empire,Male,1,49.0
Germany; Nazi Germany; Weimar Republic,Female,2,23.0
Germany; Nazi Germany; Weimar Republic,Male,3,58.0
Germany; Nazi Germany; Weimar Republic; German Empire,Female,2,61.5
Germany; Nazi Germany; Weimar Republic; German Empire,Male,9,59.44444444444444
Germany; Nazi Germany; Weimar Republic; German Empire; West Germany,Male,1,87.0
Germany; Nazi Germany; Weimar Republic; West Germany,Male,1,79.0
Germany; Nazi Germany; West Germany,Female,1,37.0
Germany; Ottoman Empire,Male,2,62.5
Germany; Pakistan; British Raj,Female,1,88.0
Germany; Peru,Female,1,95.0
Germany; Polish–Lithuanian Commonwealth,Male,1,42.0
Germany; Prussia,Female,1,53.0
Germany; Prussia,Male,3,59.0
Germany; Russian Empire,Female,1,48.0
Germany; Russian Empire,Male,1,33.0
Germany; Russian Empire; Prussia,Male,1,73.0
Germany; Soviet Union,Male,2,45.0
Germany; Ukraine,Male,1,86.0
Germany; United Kingdom of Great Britain and Ireland,Female,1,43.0
Germany; West Germany,Male,10,61.6
Ghana,Female,3,67.66666666666667
Ghana,Male,14,61.642857142857146
Ghana; France,Male,1,23.0
Ghana; Gold Coast,Male,1,63.0
Giudicato of Arborea,Male,1,58.0
Grand Duchy of Finland,Male,6,40.166666666666664
